자치구명,법정동명,등록동물수(마리),등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
송파구,가락동,3195,72,2642,1.21,6,2021-09-16
송파구,거여동,1531,64,1184,1.29,4,2021-09-16
송파구,마천동,1728,62,1318,1.31,2,2021-09-16
송파구,문정동,3233,86,2616,1.24,8,2021-09-16
송파구,방이동,3056,74,2410,1.27,3,2021-09-16
송파구,삼전동,1887,67,1462,1.29,5,2021-09-16
송파구,석촌동,1862,75,1384,1.35,6,2021-09-16
송파구,송파동,2152,68,1694,1.27,10,2021-09-16
송파구,신천동,1680,57,1409,1.19,4,2021-09-16
송파구,오금동,1657,72,1361,1.22,6,2021-09-16
송파구,잠실동,5255,97,4283,1.23,12,2021-09-16
송파구,장지동,1551,59,1274,1.22,2,2021-09-16
송파구,풍납동,1701,64,1374,1.24,3,2021-09-16
