법정동,RFID 내장형,RFID 외장형,RFID 인식표,합계,
중동,253.0,199.0,58.0,510.0,
공덕동,656.0,452.0,93.0,1201.0,
구수동,21.0,24.0,7.0,52.0,
당인동,37.0,33.0,3.0,73.0,
대흥동,332.0,195.0,42.0,569.0,
도화동,524.0,411.0,95.0,1030.0,
동교동,131.0,122.0,18.0,271.0,
마포동,65.0,48.0,17.0,130.0,
망원동,1307.0,884.0,308.0,2499.0,
상수동,204.0,154.0,25.0,383.0,
상암동,715.0,432.0,219.0,1366.0,
서교동,1583.0,448.0,115.0,2146.0,
성산동,1449.0,1013.0,225.0,2687.0,
신수동,303.0,271.0,20.0,594.0,
신정동,17.0,30.0,5.0,52.0,
아현동,559.0,421.0,51.0,1031.0,
연남동,609.0,351.0,61.0,1021.0,
염리동,291.0,295.0,51.0,637.0,
용강동,154.0,126.0,10.0,290.0,
창전동,281.0,263.0,54.0,598.0,
토정동,25.0,32.0,5.0,62.0,
하중동,35.0,41.0,4.0,80.0,
합정동,653.0,402.0,134.0,1189.0,
현석동,78.0,85.0,12.0,175.0,
노고산동,185.0,92.0,25.0,302.0,
신공덕동,261.0,203.0,62.0,526.0,
합계,10728.0,7027.0,1719.0,19474.0,
,,,,,
