읍면동(법정동),내장형 RFID,외장형 RFID,인식표 RFID,동물등록수합계(마리),동물소유자수(명),,
당산동,129,126,27,282,238,,
대림동,1048,1195,326,2569,2045,,
도림동,453,415,113,981,768,,
신길동,2226,2192,624,5042,3956,,
여의도동,733,837,389,1959,1564,,
영등포동,313,305,71,689,538,,
당산동1가,159,161,47,367,296,,
당산동2가,110,137,27,274,212,,
당산동3가,235,229,29,493,373,,
당산동4가,239,267,58,564,444,,
당산동5가,233,310,73,616,495,,
당산동6가,78,101,17,196,142,,
문래동1가,3,6,1,10,8,,
문래동2가,31,20,2,53,38,,
문래동3가,261,309,66,636,493,,
문래동4가,33,57,5,95,74,,
문래동5가,82,124,19,225,177,,
문래동6가,164,240,42,446,365,,
양평동1가,109,118,20,247,179,,
양평동2가,141,149,49,339,258,,
양평동3가,219,258,49,526,430,,
양평동4가,155,143,26,324,273,,
양평동5가,131,139,33,303,241,,
양평동6가,97,105,38,240,181,,
영등포동1가,63,44,6,113,92,,
영등포동2가,86,53,15,154,123,,
영등포동3가,42,27,4,73,50,,
영등포동4가,58,46,8,112,86,,
영등포동5가,52,39,7,98,70,,
영등포동6가,47,41,7,95,65,,
영등포동7가,196,152,27,375,290,,
영등포동8가,205,115,9,329,193,,
,,,,,,,
