읍면동(법정동),등록주체_시군구,등록주체_대행업체,등록형태_내장형RFID,등록형태_외장형RFID,등록형태_인식표RFID,등록품종수,동물소유자수,동물소유자당동물등록수,총등록수,데이터기준일자
신설동,5,249,107,121,26,39,183,1.39,254,2022-07-18
용두동,66,1624,714,859,119,74,1267,1.34,1692,2022-07-18
이문동,57,2613,1225,1300,146,81,1578,1.69,2671,2022-07-18
장안동,140,4421,2027,2298,237,87,3477,1.31,4562,2022-07-18
전농동,80,2331,1314,959,140,77,1918,1.26,2413,2022-07-18
제기동,48,1423,622,769,80,79,1111,1.32,1471,2022-07-18
회기동,15,485,261,210,29,48,408,1.23,500,2022-07-18
휘경동,44,1790,877,873,85,70,1454,1.26,1835,2022-07-18
답십리동,107,3020,1721,1209,199,78,2276,1.37,3129,2022-07-18
청량리동,35,1003,411,567,60,55,789,1.32,1038,2022-07-18
