자치구명,법정동명,등록동물수(마리),등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수
종로구,계동,83,20,67,1.24,81
종로구,재동,7,3,6,1.17,6
종로구,평동,39,14,32,1.22,37
종로구,화동,9,5,9,1,9
종로구,가회동,105,39,70,1.5,102
종로구,견지동,15,7,10,1.5,15
종로구,경운동,12,7,10,1.2,12
종로구,공평동,2,1,1,2,2
종로구,관수동,1,1,1,1,1
종로구,관철동,6,5,6,1,6
종로구,관훈동,2,2,2,1,2
종로구,교남동,3,3,3,1,3
종로구,교북동,44,15,35,1.26,43
종로구,구기동,546,58,392,1.39,535
종로구,궁정동,7,5,6,1.17,7
종로구,권농동,22,9,15,1.47,22
종로구,낙원동,31,15,23,1.35,30
종로구,내수동,187,36,131,1.43,185
종로구,내자동,14,8,11,1.27,14
종로구,누상동,207,32,166,1.25,202
종로구,누하동,57,21,46,1.24,55
종로구,당주동,29,19,18,1.61,29
종로구,도렴동,2,2,2,1,2
종로구,돈의동,34,13,20,1.7,33
종로구,동숭동,309,41,240,1.29,304
종로구,무악동,451,39,359,1.26,446
종로구,봉익동,2,2,2,1,2
종로구,부암동,497,68,351,1.42,485
종로구,사간동,18,10,13,1.38,18
종로구,사직동,246,35,191,1.29,244
종로구,삼청동,120,31,85,1.41,115
종로구,서린동,24,14,18,1.33,20
종로구,세종로,31,18,26,1.19,28
종로구,소격동,18,11,13,1.38,18
종로구,송월동,4,3,3,1.33,4
종로구,수송동,26,7,20,1.3,26
종로구,숭인동,901,58,691,1.3,877
종로구,신교동,89,29,74,1.2,87
종로구,신영동,304,44,231,1.32,289
종로구,안국동,15,11,13,1.15,15
종로구,연건동,63,19,50,1.26,62
종로구,연지동,34,16,25,1.36,32
종로구,옥인동,147,30,124,1.19,143
종로구,와룡동,5,4,4,1.25,4
종로구,운니동,8,7,7,1.14,8
종로구,원남동,36,17,23,1.57,31
종로구,원서동,117,23,92,1.27,113
종로구,이화동,119,28,82,1.45,118
종로구,익선동,46,16,37,1.24,46
종로구,인사동,10,4,5,2,10
종로구,인의동,47,12,37,1.27,47
종로구,장사동,3,3,2,1.5,3
종로구,적선동,11,9,10,1.1,11
종로구,창성동,35,11,22,1.59,34
종로구,창신동,1181,56,863,1.37,1152
종로구,청운동,155,38,125,1.24,150
종로구,청진동,4,3,3,1.33,4
종로구,체부동,66,27,52,1.27,65
종로구,충신동,155,31,112,1.38,149
종로구,통의동,30,17,23,1.3,27
종로구,통인동,59,21,41,1.44,59
종로구,팔판동,28,18,24,1.17,28
종로구,평창동,1203,78,842,1.43,1150
종로구,필운동,47,22,39,1.21,45
종로구,행촌동,208,34,156,1.33,206
종로구,혜화동,197,33,148,1.33,193
종로구,홍지동,139,28,102,1.36,138
종로구,홍파동,162,28,120,1.35,159
종로구,효자동,46,20,36,1.28,44
종로구,효제동,22,13,17,1.29,22
종로구,명륜1가,217,40,178,1.22,209
종로구,명륜2가,191,34,134,1.43,188
종로구,명륜3가,264,42,203,1.3,259
종로구,명륜4가,55,19,44,1.25,55
종로구,종로1가,14,9,12,1.17,13
종로구,종로3가,1,1,1,1,1
종로구,종로4가,2,2,2,1,1
종로구,종로5가,11,9,8,1.38,11
종로구,종로6가,35,18,25,1.4,34
종로구,신문로1가,6,5,6,1,6
종로구,신문로2가,55,19,40,1.38,55
